PRODUCT NAME,PRODUCT URLS,PRODUCT PRICE,PRODUCT RATING,REVIEW COUNT
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://amazon.inhttps://aax-eu.amazon.in/x/c/RPUaz-UzA36v_5NCFBqGXzQAAAGHBbyBKQMAAAH2AQBvbm9fdHhuX2JpZDEgICBOL0EgICAgICAgICAgICAOLkdo/https://www.amazon.in/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B68Z3X7D/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.93240040-7510-4cf9-a1aa-e295d190738a%3Aamzn1.sym.93240040-7510-4cf9-a1aa-e295d190738a&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0B68Z3X7D&pd_rd_r=d797caad-e667-40a0-8aff-9c4211172128&pd_rd_w=a0AO2&pd_rd_wg=EgYPB&pf_rd_p=93240040-7510-4cf9-a1aa-e295d190738a&pf_rd_r=6XM1QTXGBPSR5DZV0S63&qid=1679428452&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C358&sr=1-17-69854b2b-eed5-48c0-8a3b-ed25f92e9cd8,599,4.0 out of 5 stars,7
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),https://amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-20,499,4.3 out of 5 stars,",16"
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-21,849,4.3 out of 5 stars,"2,34"
Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,https://amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WNFN1XS/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-22,"1,600",4.0 out of 5 stars,"2,98"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-23,"1,131",3.9 out of 5 stars,",43"
American Tourister Casual Backpack,https://amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-24,473,4.1 out of 5 stars,"4,46"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),https://amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-25,799,4.4 out of 5 stars,"6,46"
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",https://amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-26,900,4.1 out of 5 stars,",16"
ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_27?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-27,799,4.0 out of 5 stars,
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_28?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-28,"1,139",4.0 out of 5 stars,",11"
TRAWOC 80L Travel Backpack for Men & Women Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack,https://amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-29,"1,249",4.4 out of 5 stars,",92"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",https://amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-30,"1,032",4.1 out of 5 stars,9
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-31,299,3.9 out of 5 stars,5
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-32,599,4.3 out of 5 stars,"2,34"
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",https://amazon.inhttps://aax-eu.amazon.in/x/c/RFC8Pu0s0uX_QcXxjnO9ZrQAAAGHBbyBIgMAAAH2AQBvbm9fdHhuX2JpZDMgICBOL0EgICAgICAgICAgICB_YroY/https://www.amazon.in/uppercase-Professional-resistant-sustainable-Anti-theft/dp/B0BR179L65/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.ae694cc5-132b-4ca2-a543-9d6ce458829e%3Aamzn1.sym.ae694cc5-132b-4ca2-a543-9d6ce458829e&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BR179L65&pd_rd_r=f3c29aea-b6e2-493b-85fe-a3132787555c&pd_rd_w=wj0Bs&pd_rd_wg=hE8c9&pf_rd_p=ae694cc5-132b-4ca2-a543-9d6ce458829e&pf_rd_r=6XM1QTXGBPSR5DZV0S63&qid=1679428452&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C358&sr=1-17-06195d41-65bd-48f4-8e70-03d97b6094ec,239,4.9 out of 5 stars,
DEIN KLEIDER Men's Nylon Messenger Bag,https://amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-33,"1,249.",4.0 out of 5 stars,",56"
ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-34,"1,199.",4.0 out of 5 stars,
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",https://amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-35,"1,249.",4.4 out of 5 stars,",72"
"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)",https://amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-36,349,4.2 out of 5 stars,",59"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-37,599,4.1 out of 5 stars,",04"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black),https://amazon.in/ADISA-Laptop-Backpack-College-z-Black/dp/B09TPY1G1W/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-38,652,3.8 out of 5 stars,6
